Task ID,Phase,Layer,Atomic task,Primary files,Acceptance check,Blocker if missing,Priority
MG-022,Events,Suppression,Map bounce/complaint to suppression entries,backend/app/services/email_events.py,Bounce/complaint blocks future send,Reputation/compliance risk,P0
MG-023,Inbound,Parser,Implement inbound email parser and deterministic ticket linking,backend/app/services/email_inbound.py,Plus-address/headers link; subject-only does not auto-link,Wrong-ticket linkage,P0
MG-024,Inbound,Unresolved,Expose unresolved inbound emails for review,"backend/app/api/admin_email.py, webapp/src/routes/email-accounts.tsx",Unlinked inbound emails visible to admin/operator,Lost customer replies,P0
MG-025,Frontend,API client,Extend api.ts types and methods for Email admin and send payload,"webapp/src/lib/api.ts, webapp/src/lib/types.ts",Typecheck passes; existing send flow unchanged,Frontend cannot call new backend,P0
MG-026,Frontend,Admin UI,Build Email account admin page/tab,webapp/src/routes/email-accounts.tsx or webapp/src/routes/accounts.tsx,Admin can create/edit/check/test account,Still requires backend/manual engineering config,P0
MG-027,Frontend,Agent UI,Add Email composer mode in CustomerReplyPanel,webapp/src/components/operator/CustomerReplyPanel.tsx,Agent sees From/To/Subject/Body and disabled reasons,Agent cannot safely use Email,P0
MG-028,Frontend,Timeline,Render Email queued/accepted/delivered/bounced/complaint/inbound cards,ticket timeline components,"Agent sees real state, not fake delivered",Operational blindness,P0
MG-029,Observability,Admin UI/API,Add email-specific queue/event/suppression counts,"backend/app/api/admin.py, webapp admin dashboard",Queue summary separates Email from other channels,Ops cannot isolate Email incidents,P0
MG-030,Tests,Backend,"Add unit tests for capability, resolver, adapter, provider, rollback, webhook, inbound",backend/tests/test_email_*.py,All listed tests pass,No production confidence,P0
MG-031,Tests,Frontend,Add UI tests for admin config and agent composer,webapp tests,Typecheck/test/build pass,Frontend regressions,P0
MG-032,Release,Smoke,Run copy-paste smoke script and archive evidence,15_automation_scripts/smoke_email_admin_e2e.sh,Evidence files generated; worker/provider logs checked,No release evidence,P0
MG-033,Release,Rollback,Verify Email-only rollback does not alter pending Email rows or non-Email channels,rollback test command/test,pending_email_before == pending_email_after; non-email unaffected,Unsafe rollback,P0
