Task ID,Epic,PR Slice,Layer,Owner Role,Depends On,Atomic Change,Primary Files,Exact Code-Level Requirement,Acceptance Criteria,Test Command,Expected Evidence,Rollback Impact,Merge Independence,Priority
EMAIL-BE-022,Admin API,PR-02 email-admin-api,Backend,Backend Engineer,EMAIL-BE-019,Add admin email account update endpoint,backend/app/api/admin_email.py,PATCH /api/admin/email/accounts/{id} updates mutable metadata; provider/account identity changes are explicit and audited.,Patch updates display/from/reply/priority without breaking ChannelAccount.,pytest backend/tests/test_email_admin_api.py::test_update_email_account_mutable_fields,API response snapshot.,Rollback by patching previous values.,yes,P1
EMAIL-BE-023,Admin API,PR-02 email-admin-api,Backend,Backend Engineer,EMAIL-BE-022,Add email account activation/deactivation endpoint,backend/app/api/admin_email.py,POST /activate and /deactivate toggle ChannelAccount.is_active and write admin audit.,Inactive account not returned as send-ready.,pytest backend/tests/test_email_admin_api.py::test_deactivated_email_account_not_sendable,Capability response diff.,Reactivate account.,yes,P1
EMAIL-BE-024,Admin API,PR-02 email-admin-api,Backend,Backend Engineer,EMAIL-BE-019,Add email account readiness endpoint,"backend/app/api/admin_email.py, backend/app/services/email_readiness.py",GET /api/admin/email/accounts/{id}/readiness returns missing runtime/account/verification/secret/region/configuration_set items.,Readiness returns deterministic missing list.,pytest backend/tests/test_email_admin_api.py::test_email_account_readiness_missing_items,Readiness JSON.,Read-only endpoint.,yes,P1
EMAIL-BE-025,Admin API,PR-02 email-admin-api,Backend,Backend Engineer,EMAIL-BE-024,Add SES identity verification refresh endpoint,"backend/app/api/admin_email.py, backend/app/services/email_providers/ses.py",POST /verification-check calls provider abstraction and updates is_verified/health fields without exposing secrets.,Fake SES provider sets verified true in test.,pytest backend/tests/test_email_admin_api.py::test_verification_check_updates_verified_state,Provider fake evidence.,No outbound send; safe rollback.,yes,P1
EMAIL-BE-026,Admin API,PR-02 email-admin-api,Backend,Backend Engineer,EMAIL-BE-025,Add email account health check endpoint,"backend/app/api/admin_email.py, backend/app/services/email_health.py","POST /health-check validates runtime config, credentials availability, SES send quota/get identity where possible, and persists health_status.",Healthy/degraded/offline states are deterministic under fake provider.,pytest backend/tests/test_email_admin_api.py::test_email_health_check_state_machine,Health status transitions.,Readiness can remain degraded without sending.,yes,P1
EMAIL-BE-027,Admin API,PR-02 email-admin-api,Backend,Backend Engineer,EMAIL-BE-025,Add email account test-send endpoint,"backend/app/api/admin_email.py, backend/app/services/outbound_adapters/email.py","POST /test-send sends a controlled test email only to explicitly provided test recipient and marks result as test, not ticket outbound.",Test send returns provider_message_id under fake SES and rejects missing confirmation.,pytest backend/tests/test_email_admin_api.py::test_email_test_send_requires_confirmation,Test-send response.,Endpoint can be feature-flagged off.,no,P1
EMAIL-BE-028,Admin API,PR-02 email-admin-api,Backend,Backend Engineer,EMAIL-BE-019,Add admin suppression list endpoint,backend/app/api/admin_email.py,GET /api/admin/email/suppressions lists active suppression entries with reason and source event.,Admin can see suppressed recipient; unauthorized rejected.,pytest backend/tests/test_email_admin_api.py::test_list_email_suppressions,API response.,Read-only endpoint.,yes,P2
EMAIL-BE-029,Admin API,PR-02 email-admin-api,Backend,Backend Engineer,EMAIL-BE-028,Add admin suppression deactivate endpoint,backend/app/api/admin_email.py,POST /api/admin/email/suppressions/{id}/deactivate requires admin note and writes admin audit.,Suppression inactive after endpoint and send readiness can pass.,pytest backend/tests/test_email_admin_api.py::test_deactivate_suppression_requires_note,Audit and DB evidence.,Recreate suppression if needed.,yes,P2
EMAIL-BE-030,Send Contract,PR-03 capability-and-send-contract,Backend,Backend Engineer,EMAIL-BE-001,Extend OutboundSendRequest backward compatibly,backend/app/schemas.py,"Add optional subject, to_email, cc, bcc, html_body, attachment_ids fields; existing channel/body requests remain valid.",Legacy WhatsApp/WebChat payload still validates.,pytest backend/tests/test_email_send_schema.py::test_legacy_outbound_payload_still_validates,Schema test.,Remove optional fields if no callsites use them.,yes,P1
EMAIL-BE-031,Send Contract,PR-03 capability-and-send-contract,Backend,Backend Engineer,EMAIL-BE-030,Add Email-specific send request validation,backend/app/services/email_validation.py,"When channel=email validate recipient, subject generation, cc/bcc format, CRLF rejection, body presence.",Invalid email payload returns structured validation error.,pytest backend/tests/test_email_send_schema.py::test_email_payload_validation_errors_are_structured,Validation response.,Validation isolated.,yes,P0
EMAIL-BE-032,Send Contract,PR-03 capability-and-send-contract,Backend,Backend Engineer,"EMAIL-BE-016, EMAIL-DB-006",Upgrade capability registry to support Email ready/configurable,backend/app/services/outbound_channel_registry.py,"Email is customer_sendable only when runtime, active verified account, valid recipient, secret strategy, and no suppression are all ready.",Email capability returns ready only for fully configured fixture.,pytest backend/tests/test_email_channel_capabilities.py::test_email_ready_requires_all_gates,Capability JSON evidence.,Email can be forced experimental_not_ready by disabling OUTBOUND_EMAIL_ENABLED.,yes,P0
EMAIL-BE-033,Send Contract,PR-03 capability-and-send-contract,Backend,Backend Engineer,EMAIL-BE-032,Return precise Email missing reasons,backend/app/services/outbound_channel_registry.py,"Missing list must include exact tokens: outbound_email_enabled, email_channel_account, verified_email_identity, valid_email_recipient, email_provider_secret, not_suppressed.",Each missing scenario returns one deterministic token.,pytest backend/tests/test_email_channel_capabilities.py::test_email_missing_reasons_are_precise,Missing-token matrix.,No data impact.,yes,P1
EMAIL-BE-034,Send Contract,PR-03 capability-and-send-contract,Backend,Backend Engineer,"EMAIL-BE-030, EMAIL-DB-008",Create EmailOutboundMetadata when queueing email,"backend/app/services/ticket_service.py, backend/app/services/email_outbound_service.py",send_outbound_message creates TicketOutboundMessage plus EmailOutboundMetadata in same transaction when channel=email.,Email send API returns queued row and metadata exists.,pytest backend/tests/test_email_outbound_queueing.py::test_email_send_creates_metadata_atomically,DB transaction evidence.,Delete queued test rows.,yes,P0
EMAIL-BE-035,Send Contract,PR-03 capability-and-send-contract,Backend,Backend Engineer,EMAIL-BE-034,Generate default Email subject,backend/app/services/email_addressing.py,"If subject absent, generate Re: [ticket_no] title; preserve existing email thread subject when metadata exists.",Default subject deterministic and sanitized.,pytest backend/tests/test_email_outbound_queueing.py::test_default_subject_generation,Subject assertion.,No external impact.,yes,P1
EMAIL-BE-036,Send Contract,PR-03 capability-and-send-contract,Backend,Backend Engineer,EMAIL-BE-034,Resolve Email recipient from explicit/to preferred/customer,backend/app/services/email_addressing.py,"Resolution order: explicit to_email, ticket.preferred_reply_contact, customer.email. Reject source_chat_id unless it is valid email.",Recipient resolution matrix passes.,pytest backend/tests/test_email_outbound_queueing.py::test_email_recipient_resolution_order,Matrix output.,Validation rollback safe.,yes,P0
EMAIL-BE-037,Send Contract,PR-03 capability-and-send-contract,Backend,Backend Engineer,EMAIL-BE-034,Block suppressed Email recipient before queueing,backend/app/services/email_outbound_service.py,Active suppression blocks queueing with structured error; no outbound row is created.,Suppressed recipient returns 400 and no row.,pytest backend/tests/test_email_suppression.py::test_suppressed_recipient_blocked_before_queue,No-row assertion.,Deactivate suppression.,yes,P0
EMAIL-BE-038,Dispatch Worker,PR-04 email-dispatch-and-ses-provider,Backend,Backend Engineer,"EMAIL-BE-003, EMAIL-BE-034",Make outbox claim channel-aware,backend/app/services/message_dispatch.py,claim_pending_messages must claim email only when Email gate is enabled; WhatsApp/Telegram/SMS remain controlled by openclaw gate.,Email disabled leaves pending email untouched and does not increment retry_count.,pytest backend/tests/test_email_runtime_gate_and_rollback.py::test_email_disabled_does_not_claim_or_dead_letter_pending_email,Queue invariant output.,Set OUTBOUND_EMAIL_ENABLED=false.,yes,P0
EMAIL-BE-039,Dispatch Worker,PR-04 email-dispatch-and-ses-provider,Backend,Backend Engineer,EMAIL-BE-038,Route Email messages to Email adapter branch,"backend/app/services/message_dispatch.py, backend/app/services/outbound_adapters/email.py",process_outbound_message handles SourceChannel.email before legacy OpenClaw branch.,Email message never calls dispatch_via_openclaw_bridge.,pytest backend/tests/test_email_dispatch_adapter.py::test_email_never_uses_openclaw_bridge,Monkeypatch assertion.,Disable Email gate.,yes,P0
EMAIL-BE-040,Dispatch Worker,PR-04 email-dispatch-and-ses-provider,Backend,Backend Engineer,EMAIL-BE-039,Add Email adapter route resolver,backend/app/services/outbound_adapters/email.py,"Resolve active verified email account, recipient, subject, sender, reply-to, return-path and metadata row.",Missing account/recipient/metadata returns non-provider failure.,pytest backend/tests/test_email_dispatch_adapter.py::test_email_route_resolution_requires_account_and_metadata,Route context evidence.,No external call if resolution fails.,yes,P0
EMAIL-BE-041,Dispatch Worker,PR-04 email-dispatch-and-ses-provider,Backend,Backend Engineer,EMAIL-BE-040,Add Email body renderer,backend/app/services/email_rendering.py,Generate text and sanitized HTML body; reject script/event handlers and dangerous HTML.,HTML sanitizer strips unsafe content and text fallback exists.,pytest backend/tests/test_email_security.py::test_html_body_is_sanitized,Sanitized body snapshot.,Renderer isolated.,yes,P0
EMAIL-BE-042,Dispatch Worker,PR-04 email-dispatch-and-ses-provider,Backend,Backend Engineer,EMAIL-BE-040,Generate outbound threading headers,backend/app/services/email_headers.py,"Generate Message-ID, References, In-Reply-To, X-NexusDesk-Ticket-ID; reject CRLF.","Headers are deterministic, safe, and stored in metadata.",pytest backend/tests/test_email_dispatch_adapter.py::test_email_threading_headers_generated_and_stored,Header snapshot.,Header generation rollback safe.,yes,P1
EMAIL-BE-043,SES Provider,PR-04 email-dispatch-and-ses-provider,Backend,Backend Engineer,EMAIL-BE-041,Add provider result interface,backend/app/services/email_providers/base.py,"Define EmailSendResult with status, provider_status, provider_message_id, sent_at, raw_response, retryable flag.",Fake provider returns typed result consumed by adapter.,pytest backend/tests/test_email_provider_contract.py::test_provider_result_contract,Contract test output.,Interface only.,yes,P1
EMAIL-BE-044,SES Provider,PR-04 email-dispatch-and-ses-provider,Backend,Backend Engineer,EMAIL-BE-043,Implement SES SendEmail provider,backend/app/services/email_providers/ses.py,Use boto3 SES v2 or SES client to send single-recipient transactional email with source/destination/content/configuration_set.,Provider builds expected SES request under botocore Stubber/fake.,pytest backend/tests/test_email_provider_ses.py::test_ses_provider_builds_single_recipient_request,Stubbed SES request.,Set EMAIL_PROVIDER=disabled.,yes,P1
EMAIL-BE-045,SES Provider,PR-04 email-dispatch-and-ses-provider,Backend,Backend Engineer,EMAIL-BE-044,Map SES transient errors to retryable,backend/app/services/email_providers/ses.py,"Throttle, service unavailable, timeout map to retryable failure; no hard dead on first transient.",Transient error schedules retry.,pytest backend/tests/test_email_provider_ses.py::test_ses_transient_error_is_retryable,Retry state evidence.,No external effect with fake.,yes,P0
EMAIL-BE-046,SES Provider,PR-04 email-dispatch-and-ses-provider,Backend,Backend Engineer,EMAIL-BE-044,Map SES permanent errors to dead,backend/app/services/email_providers/ses.py,Invalid identity/suppressed/rejected recipient maps to permanent failure/dead or suppression reason.,Permanent SES error marks dead with precise failure_code.,pytest backend/tests/test_email_provider_ses.py::test_ses_permanent_error_marks_dead,Dead state assertion.,Manual requeue if fixed.,yes,P0
EMAIL-BE-047,Dispatch Worker,PR-04 email-dispatch-and-ses-provider,Backend,Backend Engineer,EMAIL-BE-044,Persist provider message id on send success,backend/app/services/outbound_adapters/email.py,On SES success write provider_message_id to TicketOutboundMessage and EmailOutboundMetadata; mark sent with provider_status.,Sent row has provider_message_id and sent_at.,pytest backend/tests/test_email_dispatch_adapter.py::test_success_persists_provider_message_id,DB row assertion.,Requeue not needed if sent.,yes,P0
EMAIL-BE-048,Dispatch Worker,PR-04 email-dispatch-and-ses-provider,Backend,Backend Engineer,EMAIL-BE-047,Write outbound_sent ticket event with safe route payload,backend/app/services/message_dispatch.py,Ticket event payload must include email route summary but not raw secrets or full sensitive headers.,Event exists and does not contain secret_ref value or AWS credentials.,pytest backend/tests/test_email_dispatch_adapter.py::test_sent_event_redacts_sensitive_values,Audit payload assertion.,No external impact.,yes,P1
EMAIL-BE-049,Dispatch Worker,PR-04 email-dispatch-and-ses-provider,Backend,Backend Engineer,EMAIL-BE-038,Guarantee Email-only rollback invariant,backend/app/services/message_dispatch.py,"With OUTBOUND_EMAIL_ENABLED=false, pending email remains pending/paused, retry_count unchanged, non-email external dispatch can continue.",Rollback invariant test passes.,pytest backend/tests/test_email_runtime_gate_and_rollback.py::test_email_rollback_does_not_affect_non_email_channels,Before/after queue evidence.,Set env disabled.,yes,P0
EMAIL-BE-050,Delivery Events,PR-05 email-events-and-suppression,Backend,Backend Engineer,EMAIL-DB-010,Add Email integration router,"backend/app/api/email_integrations.py, backend/app/main.py",Register /api/integrations/email/events/ses and inbound endpoints behind explicit settings.,Disabled routes reject or no-op according to settings.,pytest backend/tests/test_email_webhook_auth.py::test_email_event_endpoint_respects_feature_flag,Route response evidence.,Disable EMAIL_DELIVERY_EVENTS_ENABLED.,yes,P1
EMAIL-BE-051,Webhook Security,PR-05 email-events-and-suppression,Backend,Security Engineer,EMAIL-BE-050,Implement webhook authentication strategy,backend/app/services/email_webhook_auth.py,Verify AWS SNS signature or HMAC timestamp anti-replay; hidden URL is not sufficient.,Unsigned or stale webhook rejected.,pytest backend/tests/test_email_webhook_auth.py::test_unsigned_and_stale_webhooks_rejected,Security test output.,Disable webhook endpoint.,yes,P0
EMAIL-BE-052,Webhook Security,PR-05 email-events-and-suppression,Backend,Security Engineer,EMAIL-BE-051,Add webhook replay protection,"backend/app/services/email_webhook_auth.py, backend/app/models.py",Reject repeated event IDs or stale timestamps with no duplicate delivery event.,Replay attempt creates no duplicate row.,pytest backend/tests/test_email_webhook_auth.py::test_webhook_replay_is_rejected,Duplicate count assertion.,No external impact.,yes,P0
EMAIL-BE-053,Delivery Events,PR-05 email-events-and-suppression,Backend,Backend Engineer,EMAIL-BE-051,Parse SES Send event,backend/app/services/email_events.py,Normalize SES send event to EmailDeliveryEvent(event_type=send) and link by provider_message_id.,Send event creates delivery event and ticket timeline entry.,pytest backend/tests/test_email_delivery_events.py::test_ses_send_event_is_recorded,Event + timeline assertion.,Delete event row in test.,yes,P1
EMAIL-BE-054,Delivery Events,PR-05 email-events-and-suppression,Backend,Backend Engineer,EMAIL-BE-053,Parse SES Delivery event,backend/app/services/email_events.py,Normalize delivery event and update metadata last_delivery_status=delivered.,Delivery event appears in ticket timeline.,pytest backend/tests/test_email_delivery_events.py::test_ses_delivery_event_updates_timeline,Timeline evidence.,No outbound rollback needed.,yes,P1
EMAIL-BE-055,Delivery Events,PR-05 email-events-and-suppression,Backend,Backend Engineer,EMAIL-BE-053,Parse SES Bounce event,"backend/app/services/email_events.py, backend/app/services/email_suppression.py",Bounce event records delivery event and creates suppression for hard/permanent bounce.,Hard bounce suppresses recipient and future send is blocked.,pytest backend/tests/test_email_delivery_events.py::test_hard_bounce_creates_suppression,Suppression row evidence.,Deactivate suppression manually with audit.,yes,P0
EMAIL-BE-056,Delivery Events,PR-05 email-events-and-suppression,Backend,Backend Engineer,EMAIL-BE-053,Parse SES Complaint event,"backend/app/services/email_events.py, backend/app/services/email_suppression.py",Complaint event records delivery event and creates complaint suppression.,Complaint suppression blocks future sends.,pytest backend/tests/test_email_delivery_events.py::test_complaint_creates_suppression,Suppression assertion.,Deactivate only with admin note.,yes,P0
EMAIL-BE-057,Delivery Events,PR-05 email-events-and-suppression,Backend,Backend Engineer,EMAIL-BE-053,Parse SES Reject/DeliveryDelay events,backend/app/services/email_events.py,Reject maps to failed/dead signal; delivery delay maps to delayed provider status without suppression.,Reject/delay state transitions are deterministic.,pytest backend/tests/test_email_delivery_events.py::test_reject_and_delay_events_are_mapped,State transition evidence.,No external impact.,yes,P1
EMAIL-BE-058,Delivery Events,PR-05 email-events-and-suppression,Backend,Backend Engineer,EMAIL-BE-053,Add event-to-ticket timeline serializer,backend/app/services/timeline_service.py,"Unified timeline includes email queued, accepted/sent, delivered, bounced, complained, delayed.",Timeline API returns ordered email events.,pytest backend/tests/test_email_timeline.py::test_email_events_appear_in_unified_timeline,Timeline JSON snapshot.,Serializer can be reverted.,yes,P1
EMAIL-BE-059,Inbound Reply,PR-06 email-inbound-reply,Backend,Backend Engineer,EMAIL-DB-014,Add inbound email parser service,backend/app/services/email_inbound.py,Parse raw inbound payload into from/to/subject/text/html/message-id/in-reply-to/references and sanitized body.,Parser extracts core fields from fixture.,pytest backend/tests/test_email_inbound_parser.py::test_parse_raw_inbound_email_fixture,Parsed fixture output.,Parser isolated.,yes,P1
EMAIL-BE-060,Inbound Reply,PR-06 email-inbound-reply,Backend,Security Engineer,EMAIL-BE-059,Sanitize inbound HTML and strip quoted dangerous content,"backend/app/services/email_inbound.py, backend/app/services/email_rendering.py",Inbound HTML stored only after sanitization; raw email stored separately if enabled.,Unsafe inbound HTML is sanitized.,pytest backend/tests/test_email_inbound_parser.py::test_inbound_html_sanitized,Sanitized output.,No external effect.,yes,P0
EMAIL-BE-061,Inbound Reply,PR-06 email-inbound-reply,Backend,Backend Engineer,EMAIL-BE-059,Implement plus-address ticket linking,backend/app/services/email_inbound_linking.py,support+ticket-{ticket_id}@domain deterministically links to existing ticket if visible/open enough.,Plus address links exact ticket.,pytest backend/tests/test_email_inbound_linking.py::test_plus_address_links_ticket,Linked ticket id.,No rollback impact.,yes,P0
EMAIL-BE-062,Inbound Reply,PR-06 email-inbound-reply,Backend,Backend Engineer,EMAIL-BE-059,Implement X-NexusDesk-Ticket-ID linking,backend/app/services/email_inbound_linking.py,Header X-NexusDesk-Ticket-ID links when valid and message passes sender policy.,Header links ticket.,pytest backend/tests/test_email_inbound_linking.py::test_ticket_id_header_links_ticket,Linked ticket evidence.,No external impact.,yes,P0
